image_id,sun_azimuth_angle,current_sub_label,global_prob,center_zoom_prob,delta_i,physics_pred,gated_refined_label,is_flipped
eval_00001.png,233.43,1,0.9017,0.9112,0.1061,1,1,0
eval_00002.png,166.54,1,0.5325,0.4084,-0.094,0,0,1
eval_00003.png,40.95,1,0.9214,0.8808,-0.2303,0,1,0
eval_00004.png,109.42,1,0.7738,0.6076,0.0216,1,1,0
eval_00005.png,53.15,1,0.8074,0.7397,-0.085,0,1,0
eval_00006.png,162.83,1,0.7962,0.4809,-0.0308,0,1,0
eval_00007.png,172.03,1,0.6902,0.6474,0.2451,1,1,0
eval_00008.png,133.66,1,0.643,0.4353,0.0038,1,1,0
eval_00009.png,153.68,1,0.7436,0.6982,0.2454,1,1,0
eval_00010.png,164.63,1,0.8624,0.6984,0.1685,1,1,0
eval_00011.png,143.46,1,0.8676,0.8162,0.0629,1,1,0
eval_00012.png,183.24,1,0.7436,0.6719,0.0028,1,1,0
eval_00013.png,242.01,0,0.458,0.4342,-0.0257,0,0,0
eval_00014.png,97.5,1,0.6668,0.7978,0.083,1,1,0
eval_00015.png,138.2,1,0.8164,0.7221,0.1165,1,1,0
eval_00016.png,129.62,1,0.7064,0.7133,0.1388,1,1,0
eval_00017.png,178.81,1,0.757,0.6814,0.1341,1,1,0
eval_00018.png,105.61,1,0.6176,0.6874,0.0605,1,1,0
eval_00019.png,319.94,0,0.1293,0.1396,-0.1103,0,0,0
eval_00020.png,32.36,1,0.5574,0.4044,-0.1591,0,0,1
eval_00021.png,124.73,1,0.8558,0.7,0.09,1,1,0
eval_00022.png,6.23,1,0.5892,0.4411,-0.0193,0,0,1
eval_00023.png,204.1,1,0.6661,0.46,0.0955,1,1,0
eval_00024.png,291.05,0,0.063,0.1125,-0.0689,0,0,0
eval_00025.png,262.48,0,0.5076,0.6359,-0.0249,0,1,1
eval_00026.png,151.84,1,0.7258,0.7362,0.103,1,1,0
eval_00027.png,10.18,0,0.5415,0.1786,-0.0181,0,0,0
eval_00028.png,162.13,1,0.797,0.8216,0.4011,1,1,0
eval_00029.png,132.57,1,0.8358,0.6635,0.1391,1,1,0
eval_00030.png,141.87,1,0.6963,0.8066,0.0973,1,1,0
eval_00031.png,173.28,1,0.7797,0.5467,0.2963,1,1,0
eval_00032.png,96.2,1,0.6802,0.6289,-0.1418,0,1,0
eval_00033.png,166.92,1,0.8693,0.747,0.3292,1,1,0
eval_00034.png,96.05,1,0.7647,0.7369,0.0588,1,1,0
eval_00035.png,155.72,1,0.5735,0.474,0.0229,1,1,0
eval_00036.png,120.11,1,0.7223,0.6059,0.0367,1,1,0
eval_00037.png,69.2,1,0.8521,0.8725,-0.1268,0,1,0
eval_00038.png,91.02,1,0.4795,0.3453,0.0468,1,1,0
eval_00039.png,41.06,1,0.882,0.728,-0.079,0,1,0
eval_00040.png,101.5,1,0.5985,0.5496,0.0,1,1,0
eval_00041.png,144.91,1,0.6993,0.4932,0.0191,1,1,0
eval_00042.png,230.43,1,0.6489,0.5018,-0.025,0,1,0
eval_00043.png,176.56,1,0.8415,0.8171,0.0573,1,1,0
eval_00044.png,158.31,1,0.8277,0.7478,-0.0066,0,1,0
eval_00045.png,316.45,0,0.048,0.1833,-0.184,0,0,0
eval_00046.png,96.84,1,0.7338,0.6186,0.1893,1,1,0
eval_00047.png,142.01,1,0.6784,0.5491,-0.0245,0,1,0
eval_00048.png,112.07,1,0.7497,0.5523,0.072,1,1,0
eval_00049.png,120.33,1,0.7816,0.8374,0.0314,1,1,0
eval_00050.png,267.94,0,0.1025,0.1789,-0.0206,0,0,0
eval_00051.png,315.41,0,0.0883,0.3327,0.1481,1,0,0
eval_00052.png,174.03,1,0.6867,0.7265,0.4402,1,1,0
eval_00053.png,79.66,1,0.5477,0.55,0.0039,1,1,0
eval_00054.png,139.66,1,0.8201,0.6169,-0.005,0,1,0
eval_00055.png,98.99,1,0.752,0.7994,0.0621,1,1,0
eval_00056.png,189.51,1,0.6943,0.5568,0.0335,1,1,0
eval_00057.png,242.1,1,0.5363,0.5038,-0.0047,0,1,0
eval_00058.png,348.7,0,0.2192,0.1532,-0.2168,0,0,0
eval_00059.png,45.58,1,0.7938,0.6962,-0.0167,0,1,0
eval_00060.png,165.34,1,0.6938,0.6784,-0.1215,0,1,0
eval_00061.png,222.45,1,0.9318,0.8687,0.0046,1,1,0
eval_00062.png,104.02,1,0.7634,0.7049,-0.0233,0,1,0
eval_00063.png,348.59,0,0.5149,0.6886,-0.3241,0,0,0
eval_00064.png,57.94,1,0.9272,0.8504,-0.0555,0,1,0
eval_00065.png,256.78,1,0.4284,0.2813,0.1016,1,1,0
eval_00066.png,10.37,1,0.7513,0.7939,0.0724,1,1,0
eval_00067.png,163.47,1,0.6609,0.625,0.0835,1,1,0
eval_00068.png,290.24,0,0.2399,0.4163,0.0216,1,0,0
eval_00069.png,134.5,1,0.4513,0.5018,0.2879,1,1,0
eval_00070.png,113.0,1,0.7157,0.7003,-0.0328,0,1,0
eval_00071.png,63.42,1,0.759,0.7713,-0.0076,0,1,0
eval_00072.png,100.16,1,0.7441,0.7165,-0.0194,0,1,0
eval_00073.png,359.69,1,0.5128,0.4262,-0.1067,0,0,1
eval_00074.png,179.84,1,0.6222,0.6036,0.1074,1,1,0
