image_id,sun_azimuth_angle,model_probability,label
eval_00013.png,242.01,0.44504427909851074,0
eval_01369.png,268.71,0.4467243254184723,0
eval_00618.png,38.63,0.4469824731349945,0
eval_01901.png,144.24,0.4525304436683655,0
eval_00397.png,169.9,0.45280489325523376,0
eval_00713.png,175.42,0.4584469795227051,0
eval_01979.png,283.19,0.46126788854599,0
eval_00814.png,171.68,0.46405380964279175,0
eval_01193.png,97.11,0.46433478593826294,0
eval_01811.png,179.33,0.4651655852794647,0
eval_00906.png,249.41,0.46552589535713196,0
eval_00919.png,13.28,0.46920105814933777,0
eval_00224.png,264.95,0.469510555267334,0
eval_00336.png,11.32,0.4719145596027374,1
eval_01640.png,245.46,0.4753699004650116,1
eval_01395.png,269.24,0.4758673906326294,1
eval_01980.png,60.71,0.475986510515213,1
eval_01679.png,163.43,0.4764573574066162,1
eval_01666.png,153.94,0.4769766330718994,1
eval_01428.png,22.01,0.4785291254520416,1
eval_00759.png,154.86,0.4786204993724823,1
eval_00594.png,14.65,0.47921574115753174,1
eval_00318.png,253.2,0.4797239601612091,1
eval_01256.png,325.36,0.48096930980682373,1
eval_00704.png,170.76,0.48102661967277527,1
eval_01469.png,163.58,0.4816484749317169,1
eval_00020.png,32.36,0.48284080624580383,1
eval_00099.png,352.53,0.4850914478302002,1
eval_00591.png,301.22,0.48635977506637573,1
eval_00818.png,7.1,0.48961034417152405,1
eval_00413.png,14.59,0.49017030000686646,1
eval_01471.png,115.08,0.4912787079811096,1
eval_00185.png,163.23,0.4927632808685303,1
eval_00126.png,149.94,0.49292686581611633,1
eval_01891.png,351.07,0.49328747391700745,1
eval_00760.png,278.21,0.494648277759552,1
eval_00711.png,110.85,0.49656832218170166,1
eval_01086.png,166.97,0.4974238872528076,1
eval_01015.png,114.79,0.4999174475669861,1
eval_00560.png,207.17,0.4999406635761261,1
